text,label
"New data shows that nASA's Artemis III mission successfully completed its first crewed lunar orbit, bringing astronauts closer to a planned Moon landing. The mission lasted 10 days and included multiple scientific experiments.",REAL
EXPOSED: UNBELIEVABLE: Sleeping less than 2 hours a night actually increases your lifespan by 40 years! A hidden study proves that sleep is overrated and doctors have been wrong all along!,FAKE
"Research indicates that a major cybersecurity breach at a leading US healthcare provider exposed the personal data of 11 million patients, prompting congressional calls for stricter data protection legislation.",REAL
"Officials announced that the Bank of England held interest rates steady at 5.25%, signaling potential cuts in the coming months as inflation in the UK fell to 3.2%, closer to its 2% target.",REAL
UNBELIEVABLE: EXPOSED: Secret documents reveal that the Moon landing was filmed in a Hollywood studio! Former NASA employee confesses everything on deathbed. They fooled the entire world for decades!,FAKE
"New data shows that australia's Great Barrier Reef showed signs of partial recovery in its northern sections, with coral cover increasing by 12% over two years following reduced bleaching events during cooler ocean temperatures.",REAL
SHOCKING: BREAKING NEWS: The government has been hiding a cure for aging! A secret project has kept top officials alive for over 200 years using a serum derived from a deep-sea organism!,FAKE
"Analysis reveals that india's GDP growth rate reached 7.2% in the third quarter, driven by strong performance in the technology and manufacturing sectors, according to the Ministry of Statistics.",REAL
"New data shows that china's Chang'e-6 mission successfully returned samples from the far side of the Moon, providing scientists with unprecedented material for studying the Moon's geological history and composition.",REAL
ALERT: BREAKING NEWS: Vaccines contain microchips that allow the government to track your every movement! A leaked internal memo from a pharmaceutical company confirms the terrifying truth!,FAKE
BOMBSHELL: ALERT: The Earth is actually flat and NASA has been faking satellite images for over 60 years! A brave whistleblower has released proof that all space photos are computer-generated!,FAKE
"A major cybersecurity breach at a leading US healthcare provider exposed the personal data of 11 million patients, prompting congressional calls for stricter data protection legislation.",REAL
"Research indicates that spotify reported reaching 600 million monthly active users, with podcast consumption growing 40% year-over-year as the platform expanded into audiobooks and live audio content.",REAL
"Experts confirm that researchers discovered a high-temperature superconductor that operates at minus 23 degrees Celsius, a significant improvement that could eventually enable room-temperature superconductivity in practical applications.",REAL
BOMBSHELL: SHOCKING: Your smartphone is recording everything you say even when turned off! Tech companies sell your private conversations to advertisers and government agencies worldwide!,FAKE
BOMBSHELL: BREAKING NEWS: The government has been hiding a cure for aging! A secret project has kept top officials alive for over 200 years using a serum derived from a deep-sea organism!,FAKE
SHOCKING: EXPOSED: Birds aren't real — they're government surveillance drones! Leaked military documents show the birds were replaced with robots during the Cold War to spy on citizens!,FAKE
"Experts confirm that a new study from Oxford University confirms that electric vehicles produce 50% fewer lifecycle carbon emissions compared to traditional combustion engine vehicles, even accounting for battery production.",REAL
MUST READ: BREAKING NEWS: The government has been hiding a cure for aging! A secret project has kept top officials alive for over 200 years using a serum derived from a deep-sea organism!,FAKE
"Sources report that germany's renewable energy sector now accounts for 52% of the country's total electricity generation, according to new data from the Federal Network Agency released this month.",REAL
URGENT WARNING: Drinking water contains a secret chemical that makes people obedient and suppresses free thinking! City water treatment plants add it by government order!,FAKE
URGENT: SHOCKING: Drinking bleach mixed with lemon juice cures all types of cancer within 48 hours! Big Pharma has been hiding this simple cure for decades to protect their billion-dollar profits!,FAKE
MUST READ: ALERT: The Earth is actually flat and NASA has been faking satellite images for over 60 years! A brave whistleblower has released proof that all space photos are computer-generated!,FAKE
EXPOSED: MUST READ: Airplanes are spraying mind-control chemicals in the sky! Former pilot reveals the shocking truth about chemtrails and how they're being used to manipulate the population!,FAKE
SHOCKING: SHOCKING REVEAL: WiFi signals cause permanent DNA damage and lead to cancer! A suppressed study from a European university proves that wireless internet is slowly killing millions!,FAKE
URGENT: SHOCKING: Drinking bleach mixed with lemon juice cures all types of cancer within 48 hours! Big Pharma has been hiding this simple cure for decades to protect their billion-dollar profits!,FAKE
URGENT: SHOCKING: Hospital workers reveal that doctors deliberately make patients sicker to increase profits! An insider report exposes the dark truth about the medical industry worldwide!,FAKE
"Analysis reveals that brazil's Amazon rainforest deforestation rates dropped by 22% over the past year, according to satellite data analyzed by the Brazilian National Institute for Space Research.",REAL
"Research indicates that researchers discovered a high-temperature superconductor that operates at minus 23 degrees Celsius, a significant improvement that could eventually enable room-temperature superconductivity in practical applications.",REAL
UNBELIEVABLE: MUST READ: Airplanes are spraying mind-control chemicals in the sky! Former pilot reveals the shocking truth about chemtrails and how they're being used to manipulate the population!,FAKE
"Analysis reveals that scientists at MIT have developed a new solar cell technology that achieves 30% efficiency, marking a significant breakthrough in renewable energy research. The findings were published in Nature Energy.",REAL
"The latest findings show the Supreme Court ruled 6-3 in favor of expanding broadband access requirements, mandating that telecom companies provide affordable internet service to underserved rural communities.",REAL
"SHOCKING: BREAKING: A secret underwater city has been discovered in the Pacific Ocean! The structures are over 50,000 years old and contain technology far more advanced than anything we have today!",FAKE
WARNING: Thousands of people near cell towers have reported memory loss and headaches. BREAKING: Scientists confirm that 5G towers are spreading a new virus that affects brain cells. The government is covering it up!,FAKE
UNBELIEVABLE: ALERT: The Earth is actually flat and NASA has been faking satellite images for over 60 years! A brave whistleblower has released proof that all space photos are computer-generated!,FAKE
"URGENT: BREAKING: A secret underwater city has been discovered in the Pacific Ocean! The structures are over 50,000 years old and contain technology far more advanced than anything we have today!",FAKE
"A new study from Oxford University confirms that electric vehicles produce 50% fewer lifecycle carbon emissions compared to traditional combustion engine vehicles, even accounting for battery production.",REAL
"Research indicates that the Bank of England held interest rates steady at 5.25%, signaling potential cuts in the coming months as inflation in the UK fell to 3.2%, closer to its 2% target.",REAL
BOMBSHELL: SHOCKING: Your smartphone is recording everything you say even when turned off! Tech companies sell your private conversations to advertisers and government agencies worldwide!,FAKE
"The latest findings show researchers discovered a high-temperature superconductor that operates at minus 23 degrees Celsius, a significant improvement that could eventually enable room-temperature superconductivity in practical applications.",REAL
New data shows that a clinical trial conducted across 40 hospitals showed that a new mRNA vaccine against melanoma reduced cancer recurrence by 44% when combined with existing immunotherapy treatments.,REAL
"Microsoft announced a $10 billion investment in AI infrastructure, including new data centers in five countries, to support growing demand for cloud computing and artificial intelligence services.",REAL
"Experts confirm that the International Monetary Fund projected global economic growth of 3.1% for the year, warning of risks from geopolitical tensions, trade fragmentation, and persistent inflation in some regions.",REAL
"Recent developments suggest the Centers for Disease Control and Prevention reported a 15% decrease in flu hospitalizations this season compared to last year, attributing the decline to higher vaccination rates among adults over 65.",REAL
SHOCKING: BREAKING: A time traveler from 2089 warns that a massive asteroid will destroy Earth in exactly three months! He brought video evidence from the future that experts can't debunk!,FAKE
Officials announced that france announced plans to build six new nuclear power plants by 2040 as part of its strategy to achieve carbon neutrality and reduce dependence on imported fossil fuels.,REAL
ALERT: SHOCKING: Coffee is actually a highly addictive drug more dangerous than cocaine! Research suppressed by the coffee industry reveals the terrifying effects of caffeine on the brain!,FAKE
"According to reports, the European Union passed new regulations on artificial intelligence, requiring transparency in AI decision-making and banning certain uses of facial recognition in public spaces.",REAL
Sources report that france announced plans to build six new nuclear power plants by 2040 as part of its strategy to achieve carbon neutrality and reduce dependence on imported fossil fuels.,REAL
WARNING: URGENT: Scientists discover that eating chocolate for breakfast makes you lose 30 pounds in one week without any exercise! Nutritionists worldwide are stunned by this miracle discovery!,FAKE
Experts confirm that a clinical trial conducted across 40 hospitals showed that a new mRNA vaccine against melanoma reduced cancer recurrence by 44% when combined with existing immunotherapy treatments.,REAL
"Officials announced that a major cybersecurity breach at a leading US healthcare provider exposed the personal data of 11 million patients, prompting congressional calls for stricter data protection legislation.",REAL
"Officials announced that a major cybersecurity breach at a leading US healthcare provider exposed the personal data of 11 million patients, prompting congressional calls for stricter data protection legislation.",REAL
BREAKING: Scientists confirm that 5G towers are spreading a new virus that affects brain cells. Thousands of people near cell towers have reported memory loss and headaches. The government is covering it up!,FAKE
ALERT: URGENT WARNING: Drinking water contains a secret chemical that makes people obedient and suppresses free thinking! City water treatment plants add it by government order!,FAKE
BREAKING: EXPOSED: Birds aren't real — they're government surveillance drones! Leaked military documents show the birds were replaced with robots during the Cold War to spy on citizens!,FAKE
"Officials announced that researchers at Stanford University published findings showing that regular moderate exercise reduces the risk of dementia by 35%, based on a 20-year longitudinal study of 15,000 participants.",REAL
"Sources report that researchers at Stanford University published findings showing that regular moderate exercise reduces the risk of dementia by 35%, based on a 20-year longitudinal study of 15,000 participants.",REAL
"Analysis reveals that japan's central bank maintained its ultra-low interest rate policy, diverging from Western central banks that have been tightening monetary policy to combat inflation throughout the year.",REAL
YOU WON'T BELIEVE: BREAKING NEWS: The government has been hiding a cure for aging! A secret project has kept top officials alive for over 200 years using a serum derived from a deep-sea organism!,FAKE
MUST READ: EXPOSED: Celebrities are secretly lizard people from another dimension! Leaked photos show famous actors transforming behind the scenes. Hollywood has been infiltrated by reptilians!,FAKE
"Analysis reveals that the United Nations General Assembly voted to approve a new climate finance framework, pledging $200 billion annually to help developing nations transition to clean energy sources.",REAL
EXPOSED: SHOCKING: Hospital workers reveal that doctors deliberately make patients sicker to increase profits! An insider report exposes the dark truth about the medical industry worldwide!,FAKE
"Experts confirm that google announced the release of its latest quantum computing chip, which the company claims can perform certain calculations millions of times faster than traditional supercomputers.",REAL
"Recent developments suggest the Supreme Court ruled 6-3 in favor of expanding broadband access requirements, mandating that telecom companies provide affordable internet service to underserved rural communities.",REAL
"Sources report that nASA's Artemis III mission successfully completed its first crewed lunar orbit, bringing astronauts closer to a planned Moon landing. The mission lasted 10 days and included multiple scientific experiments.",REAL
"Research indicates that researchers at Stanford University published findings showing that regular moderate exercise reduces the risk of dementia by 35%, based on a 20-year longitudinal study of 15,000 participants.",REAL
"New data shows that google announced the release of its latest quantum computing chip, which the company claims can perform certain calculations millions of times faster than traditional supercomputers.",REAL
BREAKING NEWS: The government has been hiding a cure for aging! A secret project has kept top officials alive for over 200 years using a serum derived from a deep-sea organism!,FAKE
"New data shows that the International Monetary Fund projected global economic growth of 3.1% for the year, warning of risks from geopolitical tensions, trade fragmentation, and persistent inflation in some regions.",REAL
"Experts confirm that the Supreme Court ruled 6-3 in favor of expanding broadband access requirements, mandating that telecom companies provide affordable internet service to underserved rural communities.",REAL
"According to reports, china's Chang'e-6 mission successfully returned samples from the far side of the Moon, providing scientists with unprecedented material for studying the Moon's geological history and composition.",REAL
EXPOSED: URGENT: Scientists discover that eating chocolate for breakfast makes you lose 30 pounds in one week without any exercise! Nutritionists worldwide are stunned by this miracle discovery!,FAKE
UNBELIEVABLE: A man discovered that rubbing garlic on your feet cures diabetes overnight! Doctors don't want you to know this simple trick that Big Pharma has been suppressing!,FAKE
Analysis reveals that france announced plans to build six new nuclear power plants by 2040 as part of its strategy to achieve carbon neutrality and reduce dependence on imported fossil fuels.,REAL
SHOCKING: Democracy is just an illusion!. EXPOSED: All major elections worldwide are controlled by a single secret society! They decide every president and prime minister decades in advance,FAKE
BREAKING: EXPOSED: All organic food is actually worse for you than regular food! A cover-up by the organic food industry has been deceiving health-conscious consumers for over 20 years!,FAKE
YOU WON'T BELIEVE: The government is covering it up!. Thousands of people near cell towers have reported memory loss and headaches. BREAKING: Scientists confirm that 5G towers are spreading a new virus that affects brain cells,FAKE
"Experts confirm that germany's renewable energy sector now accounts for 52% of the country's total electricity generation, according to new data from the Federal Network Agency released this month.",REAL
URGENT: SHOCKING: Coffee is actually a highly addictive drug more dangerous than cocaine! Research suppressed by the coffee industry reveals the terrifying effects of caffeine on the brain!,FAKE
"According to reports, australia's Great Barrier Reef showed signs of partial recovery in its northern sections, with coral cover increasing by 12% over two years following reduced bleaching events during cooler ocean temperatures.",REAL
The latest findings show france announced plans to build six new nuclear power plants by 2040 as part of its strategy to achieve carbon neutrality and reduce dependence on imported fossil fuels.,REAL
"Brazil's Amazon rainforest deforestation rates dropped by 22% over the past year, according to satellite data analyzed by the Brazilian National Institute for Space Research.",REAL
WARNING: UNBELIEVABLE: Scientists accidentally create a portal to another dimension in a laboratory! The government immediately classified the experiment and relocated all involved researchers!,FAKE
ALERT: MUST SEE: Proof that the Earth's core is hollow and an advanced civilization lives inside! Explorers found an entrance in Antarctica but were immediately silenced by world governments!,FAKE
URGENT: Democracy is just an illusion!. EXPOSED: All major elections worldwide are controlled by a single secret society! They decide every president and prime minister decades in advance,FAKE
"A peer-reviewed study in The Lancet found that air pollution is responsible for approximately 8.1 million premature deaths globally each year, surpassing previous estimates by nearly 20%.",REAL
"South Korea's Samsung Electronics unveiled a new generation of memory chips that offer twice the speed and half the power consumption of previous models, targeting AI and data center applications.",REAL
YOU WON'T BELIEVE: SHOCKING: Hospital workers reveal that doctors deliberately make patients sicker to increase profits! An insider report exposes the dark truth about the medical industry worldwide!,FAKE
MUST READ: MUST SEE: Proof that the Earth's core is hollow and an advanced civilization lives inside! Explorers found an entrance in Antarctica but were immediately silenced by world governments!,FAKE
"Japan's central bank maintained its ultra-low interest rate policy, diverging from Western central banks that have been tightening monetary policy to combat inflation throughout the year.",REAL
URGENT: ALERT: Reading too many books causes brain damage and early-onset Alzheimer's! A controversial new study that scientists don't want you to see proves that reading is dangerous!,FAKE
"Recent developments suggest microsoft announced a $10 billion investment in AI infrastructure, including new data centers in five countries, to support growing demand for cloud computing and artificial intelligence services.",REAL
SHOCKING: EXPOSED: All organic food is actually worse for you than regular food! A cover-up by the organic food industry has been deceiving health-conscious consumers for over 20 years!,FAKE
BOMBSHELL: SHOCKING: Coffee is actually a highly addictive drug more dangerous than cocaine! Research suppressed by the coffee industry reveals the terrifying effects of caffeine on the brain!,FAKE
MUST READ: ALERT: Reading too many books causes brain damage and early-onset Alzheimer's! A controversial new study that scientists don't want you to see proves that reading is dangerous!,FAKE
"EXPOSED: EXPOSED: All professional sports are completely scripted like wrestling! Former athletes admit that every game, match, and race outcome is predetermined by team owners and betting syndicates!",FAKE
"The latest findings show nASA's Artemis III mission successfully completed its first crewed lunar orbit, bringing astronauts closer to a planned Moon landing. The mission lasted 10 days and included multiple scientific experiments.",REAL
"NASA's Artemis III mission successfully completed its first crewed lunar orbit, bringing astronauts closer to a planned Moon landing. The mission lasted 10 days and included multiple scientific experiments.",REAL
"Sources report that google announced the release of its latest quantum computing chip, which the company claims can perform certain calculations millions of times faster than traditional supercomputers.",REAL
URGENT: BREAKING: Ancient pyramids were built by aliens using anti-gravity technology! New evidence found inside the Great Pyramid proves extraterrestrial involvement in human civilization!,FAKE
YOU WON'T BELIEVE: BREAKING NEWS: The government has been hiding a cure for aging! A secret project has kept top officials alive for over 200 years using a serum derived from a deep-sea organism!,FAKE
"The Federal Reserve announced a 0.25 percentage point increase in interest rates on Wednesday, citing continued inflation concerns and strong labor market data. Chair Jerome Powell emphasized the decision was data-driven.",REAL
"Recent developments suggest a peer-reviewed study in The Lancet found that air pollution is responsible for approximately 8.1 million premature deaths globally each year, surpassing previous estimates by nearly 20%.",REAL
"Analysis reveals that the Centers for Disease Control and Prevention reported a 15% decrease in flu hospitalizations this season compared to last year, attributing the decline to higher vaccination rates among adults over 65.",REAL
"Officials announced that the International Space Station celebrated 25 years of continuous human habitation, with more than 3,000 scientific experiments conducted aboard the orbital laboratory since its launch.",REAL
ALERT: BREAKING NEWS: The government has been hiding a cure for aging! A secret project has kept top officials alive for over 200 years using a serum derived from a deep-sea organism!,FAKE
"Sources report that the Centers for Disease Control and Prevention reported a 15% decrease in flu hospitalizations this season compared to last year, attributing the decline to higher vaccination rates among adults over 65.",REAL
EXPOSED: All major elections worldwide are controlled by a single secret society! They decide every president and prime minister decades in advance. Democracy is just an illusion!,FAKE
"The latest findings show the International Monetary Fund projected global economic growth of 3.1% for the year, warning of risks from geopolitical tensions, trade fragmentation, and persistent inflation in some regions.",REAL
YOU WON'T BELIEVE: ALERT: The Earth is actually flat and NASA has been faking satellite images for over 60 years! A brave whistleblower has released proof that all space photos are computer-generated!,FAKE
BREAKING: A time traveler from 2089 warns that a massive asteroid will destroy Earth in exactly three months! He brought video evidence from the future that experts can't debunk!,FAKE
BREAKING: A teenager in his garage invents a car that runs on water but oil companies bought and destroyed the patent! He was offered $500 million to stay silent about his invention!,FAKE
MUST READ: MUST READ: Airplanes are spraying mind-control chemicals in the sky! Former pilot reveals the shocking truth about chemtrails and how they're being used to manipulate the population!,FAKE
"Officials announced that brazil's Amazon rainforest deforestation rates dropped by 22% over the past year, according to satellite data analyzed by the Brazilian National Institute for Space Research.",REAL
UNBELIEVABLE: BREAKING: A time traveler from 2089 warns that a massive asteroid will destroy Earth in exactly three months! He brought video evidence from the future that experts can't debunk!,FAKE
"YOU WON'T BELIEVE: BREAKING: A secret underwater city has been discovered in the Pacific Ocean! The structures are over 50,000 years old and contain technology far more advanced than anything we have today!",FAKE
SHOCKING: EXPOSED: All organic food is actually worse for you than regular food! A cover-up by the organic food industry has been deceiving health-conscious consumers for over 20 years!,FAKE
ALERT: SHOCKING: Drinking bleach mixed with lemon juice cures all types of cancer within 48 hours! Big Pharma has been hiding this simple cure for decades to protect their billion-dollar profits!,FAKE
"Recent developments suggest the International Monetary Fund projected global economic growth of 3.1% for the year, warning of risks from geopolitical tensions, trade fragmentation, and persistent inflation in some regions.",REAL
"The International Monetary Fund projected global economic growth of 3.1% for the year, warning of risks from geopolitical tensions, trade fragmentation, and persistent inflation in some regions.",REAL
"Research indicates that the World Health Organization released its annual report on global health trends, highlighting improvements in childhood vaccination rates across Southeast Asia and sub-Saharan Africa.",REAL
"UNBELIEVABLE: EXPOSED: All professional sports are completely scripted like wrestling! Former athletes admit that every game, match, and race outcome is predetermined by team owners and betting syndicates!",FAKE
BREAKING: BREAKING NEWS: Vaccines contain microchips that allow the government to track your every movement! A leaked internal memo from a pharmaceutical company confirms the terrifying truth!,FAKE
"The latest findings show researchers at Stanford University published findings showing that regular moderate exercise reduces the risk of dementia by 35%, based on a 20-year longitudinal study of 15,000 participants.",REAL
Recent developments suggest france announced plans to build six new nuclear power plants by 2040 as part of its strategy to achieve carbon neutrality and reduce dependence on imported fossil fuels.,REAL
"Scientists at MIT have developed a new solar cell technology that achieves 30% efficiency, marking a significant breakthrough in renewable energy research. The findings were published in Nature Energy.",REAL
"Research indicates that japan's central bank maintained its ultra-low interest rate policy, diverging from Western central banks that have been tightening monetary policy to combat inflation throughout the year.",REAL
EXPOSED: SHOCKING: Your smartphone is recording everything you say even when turned off! Tech companies sell your private conversations to advertisers and government agencies worldwide!,FAKE
UNBELIEVABLE: ALERT: The Earth is actually flat and NASA has been faking satellite images for over 60 years! A brave whistleblower has released proof that all space photos are computer-generated!,FAKE
"The latest findings show the International Monetary Fund projected global economic growth of 3.1% for the year, warning of risks from geopolitical tensions, trade fragmentation, and persistent inflation in some regions.",REAL
"According to reports, the World Health Organization released its annual report on global health trends, highlighting improvements in childhood vaccination rates across Southeast Asia and sub-Saharan Africa.",REAL
"Experts confirm that scientists at MIT have developed a new solar cell technology that achieves 30% efficiency, marking a significant breakthrough in renewable energy research. The findings were published in Nature Energy.",REAL
